model,x_min,x_max,y_min,y_max
30cm_open_fieldJul14shuffle1_200000,230,1080,80,900
40cm_open_fieldJul22shuffle1_200000,295,1175,56,947
40cm_open_fieldJul22shuffle1_190000,385,977,232,822
mouse_cpp,1,1440,1,1080
linear_track,1,1440,1,1080
ephys-OL,295,1175,56,947
ephys1_cpp2024,1,1440,1,1080
ephys1_linear,1,1440,1,1080
ephys1_dim,230,1080,80,900
dim_cpp,1,1440,1,1080
aya_poorlight,1,640,1,480
linear_ephys1,1,1440,1,1080
40cm_OR,1,1080,1,1080
30cm_open_fieldJul14shuffle1_250000,325,982,149,829
ephys1_dimAug22shuffle1_160000,230,1080,80,900
ephys1dim_Sept2025Sep11shuffle1_75000,350,921,176,746
cheeseboard_rig2Jul30shuffle1_115000,1,1440,1,1080
ephys1_cheeseboard-LetendreOct16shuffle1_80000,1,1440,1,1080
