subid,basepath,genotype,age,session_date,dob,vidname,basename,exposure,maze_width_cm,maze_length_cm,maze_type,maze_color,cue_position,task_name,condition,treatment,objects,paradigm,moved_object,trial_start_1,trial_stop_1,trial_start_2,trial_stop_2,trial_start_3,trial_stop_3,trial_start_4,trial_stop_4
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pretest_pairing_day01,,,07/12/23,,3768N-pretest-07122023070728.avi,3768_pretest_pairing_day01,1,70.5,39,dual_open_field,multi,none,cpp,pretest,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pretest_pairing_day01,,,07/12/23,,3768N_pairing1_A-07122023090924.avi,3768_pretest_pairing_day01,1,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pretest_pairing_day01,,,07/12/23,,3768N_pairing1_B-07122023092750.avi,3768_pretest_pairing_day01,1,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pairing_day02,,,07/13/23,,3768N_paring2_A-07132023072102.avi,3768_pairing_day02,2,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pairing_day02,,,07/13/23,,3768N_paring2_B-07132023073857.avi,3768_pairing_day02,2,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pairing_posttest_day03,,,07/14/23,,3768N_paring3_A-07142023070138.avi,3768_pairing_posttest_day03,3,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pairing_posttest_day03,,,07/14/23,,3768N_paring3_B-07142023072049.avi,3768_pairing_posttest_day03,3,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3768,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3768/3768_pairing_posttest_day03,,,07/14/23,,3768N_posttest-07142023102245.avi,3768_pairing_posttest_day03,2,70.5,39,dual_open_field,multi,none,cpp,posttest,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pretest_pairing_day01,,,07/12/23,,3769L_pretest-07122023082428.avi,3769_pretest_pairing_day01,1,70.5,39,dual_open_field,multi,none,cpp,pretest,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pretest_pairing_day01,,,07/12/23,,3769L_pairing1_A-07122023111233.avi,3769_pretest_pairing_day01,1,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pretest_pairing_day01,,,07/12/23,,3769L_pairing1_B-07122023113203.avi,3769_pretest_pairing_day01,1,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pairing_day02,,,07/13/23,,3769L_paring2_A-07132023091234.avi,3769_pairing_day02,2,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pairing_day02,,,07/13/23,,3769L_paring2_B-07132023093034.avi,3769_pairing_day02,2,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pairing_posttest_day03,,,07/14/23,,3769L_paring3_A-07142023085513.avi,3769_pairing_posttest_day03,3,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pairing_posttest_day03,,,07/14/23,,3769L_paring3_B-07142023091303.avi,3769_pairing_posttest_day03,3,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3769,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3769/3769_pairing_posttest_day03,,,07/14/23,,3769L_posttest-07142023111859.avi,3769_pairing_posttest_day03,2,70.5,39,dual_open_field,multi,none,cpp,posttest,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pretest_pairing_day01,,,07/12/23,,3770R-pretest-07122023073031.avi,3770_pretest_pairing_day01,1,70.5,39,dual_open_field,multi,none,cpp,pretest,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pretest_pairing_day01,,,07/12/23,,3770R_pairing1_B-07122023094747.avi,3770_pretest_pairing_day01,1,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pretest_pairing_day01,,,07/12/23,,3770R_pairing1_A-07122023100601.avi,3770_pretest_pairing_day01,1,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pairing_day02,,,07/13/23,,3770R_paring2_B-07132023075917.avi,3770_pairing_day02,2,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pairing_day02,,,07/13/23,,3770R_paring2_A-07132023081652.avi,3770_pairing_day02,2,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pairing_posttest_day03,,,07/14/23,,3770R_paring3_B-07142023073902.avi,3770_pairing_posttest_day03,3,23,39,open_field,blue,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pairing_posttest_day03,,,07/14/23,,3770R_paring3_A-07142023075720.avi,3770_pairing_posttest_day03,3,23,39,open_field,yellow,none,cpp,pairing,none,none,none,none,,,,,,,,
3770,/Volumes/sn data server 3/laura_berkowitz/behavior_validation/appps1_cpp/data/cohort2/3770/3770_pairing_posttest_day03,,,07/14/23,,3770R_posttest-07142023104133.avi,3770_pairing_posttest_day03,2,70.5,39,dual_open_field,multi,none,cpp,posttest,none,none,none,none,,,,,,,,
