group,basepath,lfp,sleep_states,tracking_dlc,tracking_animalBehavior,tracking_restrictxy,sorting_Kilosort,sorting_phyRez,tracking_sessionBehavioralTracking,cell_metrics,ripples,anatomical_map,behavior_scoring
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day00_230623_110054,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day01,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day02,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day03,1,1,0,0,0,1,1,0,1,1,1,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day04_230713_113346,1,1,1,1,1,1,1,1,1,1,1,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day05_230717_123958,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day06_230724_121943,1,1,1,1,1,1,1,1,1,1,1,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day07_230726_102440,1,1,1,0,0,1,1,0,1,1,1,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day08_230807_160422,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day09_230808_112208,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day10_230810_124537,0,0,1,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day11_230811_123319,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day12_230814_122807,0,0,0,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day13,1,1,0,0,0,1,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day14_230816_120120,0,0,1,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day15_230911_155427,0,0,1,0,0,0,0,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day16_230912_091502,1,1,1,1,1,1,1,1,1,1,1,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day17_230914_094735,1,1,1,0,0,1,1,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day18_230919_090816,1,1,0,0,0,1,1,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_day19_230921_115722,1,1,0,0,0,1,1,0,0,0,0,0
beta,Y:\laura_berkowitz\alz_stim\data\beta\beta_testing,1,1,0,0,0,1,1,0,0,0,0,0
crimp,Y:\laura_berkowitz\alz_stim\data\crimp\crimp_day00_230807_160422,0,0,0,0,0,0,0,0,0,0,0,0
crimp,Y:\laura_berkowitz\alz_stim\data\crimp\crimp_day01_230808_112208,0,0,0,0,0,0,0,0,0,0,0,0
crimp,Y:\laura_berkowitz\alz_stim\data\crimp\crimp_day02_230810_124537,1,1,0,0,0,0,0,0,0,0,0,0
crimp,Y:\laura_berkowitz\alz_stim\data\crimp\crimp_day03_230811_123319,0,0,0,0,0,0,0,0,0,0,0,0
crimp,Y:\laura_berkowitz\alz_stim\data\crimp\crimp_day04_230814_122807,0,0,0,0,0,0,0,0,0,0,0,0
